Name,Address,Bing Maps URL,Latitude,Longitude,Phone,pincode,City,District
Chirayu Hospital,"Matru Deep Co Operative Housing Society Limited, Thane, Maharashtra 401107",https://www.bing.com/maps?cp=19.2956485748291%7E72.86042022705078&lvl=17.0&q=Chirayu%20Hospital%20%2C%20Matru%20Deep%20Co%20Operative%20Housing%20Society%20Limited%2C%20Thane%2C%20Maharashtra%20401107,19.29564857,72.86042023,080970 24744,401107,Mira Bhayandar,Thane
Sai Baba Hospital & Polyclinic,"Shiv Shraddha Complex, First Floor, B. P. Road, Bhayandar (E), Dist, Thane 401105",https://www.bing.com/maps?cp=19.308265686035156%7E72.85482025146484&lvl=17.0&q=Sai%20Baba%20Hospital%20%26%20Polyclinic%20%2C%20Shiv%20Shraddha%20Complex%2C%20First%20Floor%2C%20B.%20P.%20Road%2C%20Bhayandar%20(E)%2C%20Dist%2C%20Thane%20401105,19.30826569,72.85482025,022 2804 5015,401105,Mira Bhayandar,Thane
Wockhardt Super Speciality Hospital,"The Umrao Imsr, Near Railway Station, Mira Road (E), Thane, Mumbai, Maharashtra 401107",https://www.bing.com/maps?cp=19.284332275390625%7E72.8624496459961&lvl=17.0&q=Wockhardt%20Super%20Speciality%20Hospital%20%2C%20The%20Umrao%20Imsr%2C%20Near%20Railway%20Station%2C%20Mira%20Road%20(E)%2C%20Thane%2C%20Mumbai%2C%20Maharashtra%20401107,19.28433228,72.86244965,022 2855 6000,401107,Mira Bhayandar,Thane
Dr. Pratima Sunil Chopade-General Physician,"Kaustubh Polyclinic And Day Care Centre, Shop No. 3/G2, Shiv Ashirwad Apartment, R.N.P. Park, Jesal Park Rd, Bandarwadi, Bhayander, Maharashtra 401105",https://www.bing.com/maps?cp=19.3145809173584%7E72.85612487792969&lvl=17.0&q=Dr.%20Pratima%20Sunil%20Chopade-General%20Physician%20%2C%20Kaustubh%20Polyclinic%20And%20Day%20Care%20Centre%2C%20Shop%20No.%203%2FG2%2C%20Shiv%20Ashirwad%20Apartment%2C%20R.N.P.%20Park%2C%20Jesal%20Park%20Rd%2C%20Bandarwadi%2C%20Bhayander%2C%20Maharashtra%20401105,19.31458092,72.85612488,099208 10559,401105,Mira Bhayandar,Thane
Shree Krishna Clinic,"Sai Mahal Chs Wing-A/b, Pk Road, Mira Bhayandar, Mumbai, Maharashtra 401105",https://www.bing.com/maps?cp=19.31332778930664%7E72.8548583984375&lvl=17.0&q=Shree%20Krishna%20Clinic%20%2C%20Sai%20Mahal%20Chs%20Wing-A%2Fb%2C%20Pk%20Road%2C%20Mira%20Bhayandar%2C%20Mumbai%2C%20Maharashtra%20401105,19.31332779,72.8548584,022 2816 8380,401105,Mira Bhayandar,Thane
Metro Medical & Ayurvedic Bhandar,"Bhayandar East, Thane, Maharashtra 401105",https://www.bing.com/maps?cp=19.311031341552734%7E72.85340881347656&lvl=17.0&q=Metro%20Medical%20%26%20Ayurvedic%20Bhandar%20%2C%20Bhayandar%20East%2C%20Thane%2C%20Maharashtra%20401105,19.31103134,72.85340881,022 2814 6817,401105,Mira Bhayandar,Thane
Sai Sparsh Clinic,"Shop no. 5. Tajmahal Building. Opposite Ashwini Hospital . Goddev Naka Bhayander East, Mumbai, Maharashtra 401105",https://www.bing.com/maps?cp=19.30353546142578%7E72.86041259765625&lvl=17.0&q=Sai%20Sparsh%20Clinic%20%2C%20Shop%20no.%205.%20Tajmahal%20Building.%20Opposite%20Ashwini%20Hospital%20.%20Goddev%20Naka%20Bhayander%20East%2C%20Mumbai%2C%20Maharashtra%20401105,19.30353546,72.8604126,098333 08368,401105,Mira Bhayandar,Thane
Ranakpur Clinic,"Shreepal Nagar Chs, Bhagwan Shree Vardhaman Road, Mira Bhayandar, Mumbai, Maharashtra 401101",https://www.bing.com/maps?cp=19.305469512939453%7E72.8509292602539&lvl=17.0&q=Ranakpur%20Clinic%20%2C%20Shreepal%20Nagar%20Chs%2C%20Bhagwan%20Shree%20Vardhaman%20Road%2C%20Mira%20Bhayandar%2C%20Mumbai%2C%20Maharashtra%20401101,19.30546951,72.85092926,,401101,Mira Bhayandar,Thane
Medicine India,"Shop No, 4 Sheetal Swar, Near Mtnl, Mtnl Road, Mira Road, Thane, Mumbai 401107",https://www.bing.com/maps?cp=19.283159255981445%7E72.86720275878906&lvl=17.0&q=Medicine%20India%20%2C%20Shop%20No%2C%204%20Sheetal%20Swar%2C%20Near%20Mtnl%2C%20Mtnl%20Road%2C%20Mira%20Road%2C%20Thane%2C%20Mumbai%20401107,19.28315926,72.86720276,022 4918 6468,401107,Mira Bhayandar,Thane
Shree Nathji Clinic,"Jain Nagar Road, Bhayandar East, Mumbai, Maharashtra 401105",https://www.bing.com/maps?cp=19.303903579711914%7E72.85501861572266&lvl=17.0&q=Shree%20Nathji%20Clinic%20%2C%20Jain%20Nagar%20Road%2C%20Bhayandar%20East%2C%20Mumbai%2C%20Maharashtra%20401105,19.30390358,72.85501862,098206 19526,401105,Mira Bhayandar,Thane
